feature_name,feature_importance,rank,fold_number
ela_level.lda_qda_10,0.0375758727836098,7,12
ela_level.mmce_mda_50,0.023855719431436263,8,12
ela_level.lda_mda_25,0.022493155136662044,9,12
ela_level.lda_qda_50,0.020410205477032057,10,12
ela_level.mmce_qda_10,0.018318454656148866,11,12
ela_distr.skewness,0.017120257425112327,12,12
nbc.nn_nb.cor,0.016982206630178732,13,12
ela_meta.quad_w_interact.adj_r2,0.016946105689243342,14,12
ela_meta.quad_simple.cond,0.01605216724469045,15,12
pca.expl_var_PC1.cor_x,0.015782021104323106,16,12
ela_meta.lin_simple.coef.max_by_min,0.01403082740123795,17,12
ela_level.mmce_lda_50,0.01377503838675989,18,12
ela_level.lda_mda_50,0.0136136462655113,19,12
ela_level.lda_mda_10,0.01185483113743865,20,12
ela_level.mmce_lda_25,0.011710107898341367,21,12
ela_level.qda_mda_25,0.010183295107401341,22,12
ela_meta.lin_simple.adj_r2,0.008779650826631276,23,12
nbc.nb_fitness.cor,0.008154840904937118,24,12
ela_level.qda_mda_50,0.00786590668542219,25,12
ela_level.mmce_lda_10,0.005574578281794202,26,12
pca.expl_var.cor_init,0.004559075731846143,27,12
ela_meta.lin_simple.intercept,0.3308770085347195,1,13
ic.eps.s,0.25679976683811234,2,13
disp.ratio_mean_10,0.08186684801827923,3,13
ela_level.lda_qda_25,0.06326076674446274,4,13
pca.expl_var_PC1.cov_init,0.058247176170414285,5,13
ela_level.mmce_mda_50,0.05082891899529981,6,13
ela_distr.number_of_peaks,0.04945262012424443,7,13
ela_level.lda_qda_10,0.044747297871111986,8,13
nbc.nn_nb.cor,0.031928831413682995,9,13
ela_meta.lin_simple.adj_r2,0.02582621235778878,10,13
ela_level.mmce_qda_10,0.023361893970537825,11,13
ela_level.lda_mda_25,0.02243143814942778,12,13
ela_meta.quad_simple.cond,0.020830447089432717,13,13
pca.expl_var_PC1.cor_x,0.020678903876809526,14,13
ela_level.lda_mda_50,0.019029712365164902,15,13
ela_distr.skewness,0.018446975760130525,16,13
ela_level.lda_qda_50,0.018090602971998857,17,13
ela_level.mmce_lda_50,0.013697254302490037,18,13
ela_level.lda_mda_10,0.011958498398231699,19,13
ela_meta.lin_simple.coef.max_by_min,0.01178923930469914,20,13
ela_meta.quad_w_interact.adj_r2,0.011373890707873344,21,13
ela_level.mmce_lda_10,0.010172526566924378,22,13
ela_level.qda_mda_25,0.010137618888343563,23,13
nbc.nb_fitness.cor,0.008098630020267337,24,13
ela_level.mmce_lda_25,0.007024766224902216,25,13
ela_level.qda_mda_50,0.007015975580237408,26,13
pca.expl_var.cor_init,0.004310383472716847,27,13
ic.eps.s,0.38711722574656643,1,14
ela_meta.lin_simple.coef.min,0.3672946338879838,2,14
pca.expl_var_PC1.cov_init,0.11718914488683894,3,14
disp.ratio_mean_10,0.09061985574021605,4,14
ic.h.max,0.05047701779524544,5,14
ela_level.lda_qda_25,0.04031176067798699,6,14
nbc.nn_nb.cor,0.03514672746665202,7,14
ela_level.lda_qda_10,0.028790998166371536,8,14
ela_level.mmce_mda_50,0.02714059883464378,9,14
ela_level.lda_mda_10,0.022129633292642652,10,14
ela_distr.skewness,0.02070483365972956,11,14
ela_level.lda_qda_50,0.019150250967234324,12,14
ela_level.lda_mda_50,0.015742158271511687,13,14
ela_level.mmce_qda_10,0.014768194461355926,14,14
ela_meta.quad_simple.cond,0.013811211922894823,15,14
ela_meta.lin_simple.coef.max_by_min,0.013161481335728009,16,14
pca.expl_var_PC1.cor_x,0.012902061803229356,17,14
ela_level.qda_mda_50,0.011470610081621447,18,14
ela_level.qda_mda_25,0.01081303868631818,19,14
ela_level.lda_mda_25,0.010270864888565526,20,14
ela_meta.lin_simple.adj_r2,0.010206553975043733,21,14
nbc.nb_fitness.cor,0.009091564133644075,22,14
ela_level.mmce_lda_50,0.005919559919717713,23,14
ela_level.mmce_mda_10,0.005745678608825463,24,14
pca.expl_var.cor_init,0.005497062875103655,25,14
ela_level.mmce_lda_25,0.005075126840889966,26,14
ela_meta.quad_w_interact.adj_r2,0.003791582772838966,27,14
ela_meta.lin_simple.intercept,0.4176632721717919,1,15
ic.eps.s,0.38327736385606676,2,15
pca.expl_var_PC1.cov_init,0.07602894043326965,3,15
ela_level.lda_qda_25,0.05359218827942987,4,15
ela_distr.skewness,0.04215174562496522,5,15
disp.ratio_mean_10,0.03364552106465668,6,15
ela_level.lda_qda_10,0.03337442863812248,7,15
ela_meta.quad_simple.cond,0.029927155540710616,8,15
